                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.49784,                 2.1568,                0.97094,                      1,                0.38903,                0.99326,                0.94985,                0.40555,                 3.1093,                0.92831,                0.00038,                0.00038,                0.00038
                      2,                0.51297,                  1.166,                0.93579,                      1,                0.50064,                0.97083,                 0.8491,                0.43105,                 2.9472,                0.86548,             0.00077228,             0.00077228,             0.00077228
                      3,                0.51546,                 1.0407,                0.93978,                      1,                0.65373,                0.95333,                0.85462,                0.42087,                 2.7771,                0.93769,              0.0011566,              0.0011566,              0.0011566
                      4,                 0.4899,                0.99712,                0.94904,                0.99858,                0.95455,                0.99326,                0.90782,                0.42746,                 2.0348,                 0.8519,              0.0015331,              0.0015331,              0.0015331
                      5,                0.53421,                0.93784,                0.93365,                0.94014,                0.95455,                0.98759,                0.87887,                0.47364,                 1.5173,                0.89502,              0.0019016,              0.0019016,              0.0019016
                      6,                0.57091,                 0.9063,                0.99065,                      1,                0.98632,                  0.995,                0.88336,                0.47502,                 1.2133,                 0.9567,               0.001901,               0.001901,               0.001901
                      7,                0.50749,                0.73573,                0.93492,                0.94239,                0.95455,                0.97121,                0.84681,                 0.4972,                0.91791,                 1.1401,               0.001901,               0.001901,               0.001901
                      8,                0.50811,                0.72171,                0.94278,                0.79931,                0.90533,                0.90936,                0.79908,                0.41957,                0.89383,                0.86335,              0.0018812,              0.0018812,              0.0018812
                      9,                0.45993,                0.64144,                0.92262,                0.99596,                      1,                  0.995,                0.92132,                0.41609,                0.65063,                0.83958,              0.0018614,              0.0018614,              0.0018614
                     10,                0.47319,                0.60086,                0.93447,                0.99625,                      1,                  0.995,                0.92733,                0.34855,                0.63866,                0.81442,              0.0018416,              0.0018416,              0.0018416
                     11,                0.46023,                0.58385,                0.92834,                0.90857,                0.90367,                0.96078,                0.88386,                 0.3676,                0.94418,                0.83869,              0.0018218,              0.0018218,              0.0018218
                     12,                0.45656,                0.54741,                0.92689,                0.99786,                      1,                  0.995,                0.95406,                0.32667,                0.46743,                0.80839,               0.001802,               0.001802,               0.001802
                     13,                0.42617,                0.51608,                0.89961,                0.99781,                      1,                  0.995,                0.96578,                0.28965,                0.41923,                0.79018,              0.0017822,              0.0017822,              0.0017822
                     14,                0.40762,                0.46974,                0.90092,                 0.9957,                      1,                  0.995,                0.96423,                0.27168,                0.43111,                0.78238,              0.0017624,              0.0017624,              0.0017624
                     15,                0.41728,                0.46692,                0.90658,                0.99715,                      1,                  0.995,                0.98357,                0.28222,                0.36952,                0.78342,              0.0017426,              0.0017426,              0.0017426
                     16,                0.39278,                0.44019,                0.89587,                0.99728,                      1,                  0.995,                0.94588,                0.30898,                0.33164,                0.79866,              0.0017228,              0.0017228,              0.0017228
                     17,                0.41909,                0.43254,                 0.9122,                0.99711,                      1,                  0.995,                0.97427,                0.27605,                0.33285,                0.78226,               0.001703,               0.001703,               0.001703
                     18,                 0.4079,                0.42315,                0.90296,                0.99709,                      1,                  0.995,                0.95646,                0.26264,                0.30368,                 0.7864,              0.0016832,              0.0016832,              0.0016832
                     19,                0.40004,                0.40484,                0.89597,                0.99731,                      1,                  0.995,                0.98158,                0.28197,                0.28267,                0.79569,              0.0016634,              0.0016634,              0.0016634
                     20,                0.37071,                0.39027,                0.88971,                0.99657,                      1,                  0.995,                0.94116,                  0.283,                0.31973,                0.80343,              0.0016436,              0.0016436,              0.0016436
                     21,                0.37209,                0.39256,                0.89341,                0.99562,                      1,                  0.995,                0.97213,                0.26775,                0.31499,                0.79378,              0.0016238,              0.0016238,              0.0016238
                     22,                0.36759,                0.38057,                 0.8913,                0.99629,                      1,                  0.995,                0.97247,                 0.2565,                0.32237,                0.78268,               0.001604,               0.001604,               0.001604
                     23,                0.40133,                0.38142,                 0.8978,                 0.9969,                      1,                  0.995,                0.99063,                0.24909,                0.29653,                0.77775,              0.0015842,              0.0015842,              0.0015842
                     24,                0.37483,                0.37454,                0.88456,                0.99513,                      1,                  0.995,                0.99104,                 0.2592,                0.29839,                0.77377,              0.0015644,              0.0015644,              0.0015644
                     25,                0.38329,                0.38117,                0.88657,                0.99753,                      1,                  0.995,                0.98138,                0.23432,                0.28197,                0.78018,              0.0015446,              0.0015446,              0.0015446
                     26,                0.35986,                0.36346,                0.87937,                 0.9975,                      1,                  0.995,                0.97696,                0.22061,                0.22578,                 0.7697,              0.0015248,              0.0015248,              0.0015248
                     27,                0.34073,                0.33524,                0.86989,                0.99371,                      1,                  0.995,                0.98923,                0.24689,                0.26663,                0.77967,               0.001505,               0.001505,               0.001505
                     28,                 0.3537,                0.35237,                0.89231,                0.99762,                      1,                  0.995,                0.98086,                0.24282,                0.25697,                0.78768,              0.0014852,              0.0014852,              0.0014852
                     29,                0.37026,                0.35948,                0.90822,                0.99724,                      1,                  0.995,                 0.9843,                0.21527,                0.24193,                0.77008,              0.0014654,              0.0014654,              0.0014654
                     30,                0.31749,                0.32553,                0.85659,                0.99767,                      1,                  0.995,                0.97448,                0.22162,                0.23505,                 0.7836,              0.0014456,              0.0014456,              0.0014456
                     31,                0.32866,                0.32785,                0.86784,                0.99745,                      1,                  0.995,                0.98103,                0.20788,                 0.2403,                0.77619,              0.0014258,              0.0014258,              0.0014258
                     32,                0.32155,                0.32275,                0.87135,                0.99764,                      1,                  0.995,                0.99094,                0.20136,                0.21612,                 0.7662,               0.001406,               0.001406,               0.001406
                     33,                0.32375,                0.31306,                0.88955,                0.99748,                      1,                  0.995,                0.98975,                0.18496,                 0.1931,                0.76299,              0.0013862,              0.0013862,              0.0013862
                     34,                0.29791,                0.29557,                0.86927,                0.99715,                      1,                  0.995,                0.97129,                0.24054,                0.22588,                0.78439,              0.0013664,              0.0013664,              0.0013664
                     35,                0.32225,                0.30194,                0.87677,                0.99748,                      1,                  0.995,                0.97892,                0.23463,                0.22626,                0.76988,              0.0013466,              0.0013466,              0.0013466
                     36,                0.33291,                0.30689,                 0.8701,                 0.9952,                      1,                  0.995,                0.95645,                0.26987,                0.23782,                0.78469,              0.0013268,              0.0013268,              0.0013268
                     37,                0.33296,                0.30795,                0.87702,                0.99757,                      1,                  0.995,                0.98352,                0.24635,                0.21851,                0.80736,               0.001307,               0.001307,               0.001307
                     38,                0.31249,                 0.3077,                0.87077,                0.99422,                      1,                  0.995,                0.99097,                0.21079,                0.22534,                0.76528,              0.0012872,              0.0012872,              0.0012872
                     39,                0.29537,                0.28955,                0.85907,                0.99746,                      1,                  0.995,                  0.995,                0.18699,                0.23234,                0.77161,              0.0012674,              0.0012674,              0.0012674
                     40,                0.31516,                0.29653,                0.87807,                 0.9978,                      1,                  0.995,                  0.991,                0.20496,                0.20633,                0.77221,              0.0012476,              0.0012476,              0.0012476
                     41,                0.32295,                0.30606,                0.88216,                 0.9976,                      1,                  0.995,                0.99102,                0.21173,                0.21117,                0.77515,              0.0012278,              0.0012278,              0.0012278
                     42,                0.31004,                0.28631,                0.87085,                 0.9974,                      1,                  0.995,                0.99132,                 0.1821,                0.19966,                0.77508,               0.001208,               0.001208,               0.001208
                     43,                 0.2874,                0.27824,                0.86147,                0.99766,                      1,                  0.995,                0.99138,                0.17718,                0.20005,                0.76491,              0.0011882,              0.0011882,              0.0011882
                     44,                0.29532,                0.27989,                0.85686,                 0.9976,                      1,                  0.995,                0.98375,                0.21221,                0.19243,                0.77349,              0.0011684,              0.0011684,              0.0011684
                     45,                0.29885,                0.28272,                0.89212,                0.99759,                      1,                  0.995,                0.98847,                0.19756,                0.19177,                0.76571,              0.0011486,              0.0011486,              0.0011486
                     46,                0.28858,                0.26768,                0.87409,                 0.9967,                      1,                  0.995,                0.99043,                0.22042,                0.19209,                 0.7792,              0.0011288,              0.0011288,              0.0011288
                     47,                0.29553,                0.28302,                0.87125,                0.99711,                      1,                  0.995,                  0.995,                0.20223,                0.20054,                 0.7636,               0.001109,               0.001109,               0.001109
                     48,                0.29365,                0.27191,                0.87081,                0.99708,                      1,                  0.995,                  0.995,                0.17427,                0.18825,                0.75941,              0.0010892,              0.0010892,              0.0010892
                     49,                0.28247,                0.26802,                0.87019,                0.99551,                      1,                  0.995,                  0.995,                0.16614,                0.17774,                0.75221,              0.0010694,              0.0010694,              0.0010694
                     50,                0.27125,                0.24984,                0.86056,                0.99734,                      1,                  0.995,                  0.995,                0.17357,                 0.1782,                0.75665,              0.0010496,              0.0010496,              0.0010496
                     51,                0.27508,                0.26132,                0.85061,                0.99767,                      1,                  0.995,                0.99177,                0.18161,                0.19386,                0.76189,              0.0010298,              0.0010298,              0.0010298
                     52,                 0.2682,                  0.256,                0.85553,                0.99764,                      1,                  0.995,                  0.995,                0.14269,                0.17402,                0.75258,                0.00101,                0.00101,                0.00101
                     53,                0.26851,                0.25107,                0.85366,                0.99765,                      1,                  0.995,                  0.995,                 0.1477,                0.16849,                0.75055,              0.0009902,              0.0009902,              0.0009902
                     54,                0.27575,                0.25092,                 0.8693,                0.99717,                      1,                  0.995,                  0.995,                0.17428,                0.18241,                0.75775,              0.0009704,              0.0009704,              0.0009704
                     55,                0.26466,                0.25477,                0.84937,                0.99766,                      1,                  0.995,                  0.995,                0.14603,                  0.162,                0.75181,              0.0009506,              0.0009506,              0.0009506
                     56,                0.26379,                0.24973,                0.86993,                 0.9976,                      1,                  0.995,                  0.995,                 0.1554,                0.15902,                0.75588,              0.0009308,              0.0009308,              0.0009308
                     57,                0.26663,                0.25554,                0.86757,                0.99771,                      1,                  0.995,                  0.995,                0.16743,                0.16931,                0.75782,               0.000911,               0.000911,               0.000911
                     58,                0.25965,                0.24976,                0.85608,                 0.9977,                      1,                  0.995,                  0.995,                0.16026,                0.15919,                0.75767,              0.0008912,              0.0008912,              0.0008912
                     59,                0.25723,                0.24524,                0.85673,                0.99763,                      1,                  0.995,                  0.995,                0.18224,                0.18063,                0.76063,              0.0008714,              0.0008714,              0.0008714
                     60,                0.25878,                0.24558,                0.85403,                0.99764,                      1,                  0.995,                  0.995,                0.15404,                0.16714,                 0.7552,              0.0008516,              0.0008516,              0.0008516
                     61,                0.26407,                0.24368,                0.86089,                0.99746,                      1,                  0.995,                  0.995,                0.15375,                0.17144,                0.75602,              0.0008318,              0.0008318,              0.0008318
                     62,                 0.2449,                0.24035,                0.85333,                0.99752,                      1,                  0.995,                  0.995,                0.15564,                0.16995,                0.75566,               0.000812,               0.000812,               0.000812
                     63,                0.24353,                0.23003,                0.86179,                0.99761,                      1,                  0.995,                  0.995,                0.14435,                0.15662,                0.75276,              0.0007922,              0.0007922,              0.0007922
                     64,                0.23591,                 0.2353,                0.84547,                 0.9969,                      1,                  0.995,                0.99157,                 0.1702,                0.16906,                0.75921,              0.0007724,              0.0007724,              0.0007724
                     65,                0.25197,                0.23613,                0.85518,                0.99623,                      1,                  0.995,                  0.995,                0.16869,                 0.1725,                0.76522,              0.0007526,              0.0007526,              0.0007526
                     66,                0.24336,                0.23529,                0.85827,                0.99709,                      1,                  0.995,                  0.995,                0.15864,                0.16663,                0.75901,              0.0007328,              0.0007328,              0.0007328
                     67,                0.24364,                0.23492,                0.85445,                0.99752,                      1,                  0.995,                0.99164,                0.15047,                0.15751,                0.75284,               0.000713,               0.000713,               0.000713
                     68,                0.23516,                0.22785,                0.84342,                0.99762,                      1,                  0.995,                  0.995,                0.15251,                0.14402,                0.75192,              0.0006932,              0.0006932,              0.0006932
                     69,                0.22651,                0.21767,                0.85242,                0.99762,                      1,                  0.995,                  0.995,                0.14657,                0.14679,                0.75218,              0.0006734,              0.0006734,              0.0006734
                     70,                0.21337,                0.21553,                0.84386,                0.99775,                      1,                  0.995,                  0.995,                0.13646,                0.14704,                0.74983,              0.0006536,              0.0006536,              0.0006536
                     71,                0.22799,                0.21468,                0.84688,                0.99774,                      1,                  0.995,                  0.995,                0.14739,                0.14777,                0.74967,              0.0006338,              0.0006338,              0.0006338
                     72,                0.22113,                0.21663,                0.84955,                0.99772,                      1,                  0.995,                  0.995,                0.14033,                0.13988,                0.75926,               0.000614,               0.000614,               0.000614
                     73,                0.21581,                0.22033,                0.84608,                0.99769,                      1,                  0.995,                  0.995,                0.14257,                0.14053,                0.75724,              0.0005942,              0.0005942,              0.0005942
                     74,                0.22192,                0.21228,                0.85148,                 0.9977,                      1,                  0.995,                  0.995,                0.13395,                 0.1266,                0.75608,              0.0005744,              0.0005744,              0.0005744
                     75,                0.21664,                0.20696,                 0.8405,                0.99774,                      1,                  0.995,                  0.995,                0.13184,                0.13594,                 0.7475,              0.0005546,              0.0005546,              0.0005546
                     76,                0.21901,                0.21392,                0.84577,                0.99769,                      1,                  0.995,                  0.995,                 0.1355,                0.13927,                0.74824,              0.0005348,              0.0005348,              0.0005348
                     77,                0.21833,                0.21294,                0.84471,                0.99766,                      1,                  0.995,                  0.995,                 0.1286,                0.13324,                0.74886,               0.000515,               0.000515,               0.000515
                     78,                0.19702,                0.20428,                0.83906,                0.99768,                      1,                  0.995,                  0.995,                0.12157,                 0.1336,                0.74525,              0.0004952,              0.0004952,              0.0004952
                     79,                0.19613,                0.19567,                0.84107,                0.99769,                      1,                  0.995,                  0.995,                0.13068,                 0.1282,                0.74757,              0.0004754,              0.0004754,              0.0004754
                     80,                0.21565,                0.21069,                0.85802,                0.99763,                      1,                  0.995,                  0.995,                0.12996,                0.13511,                0.74933,              0.0004556,              0.0004556,              0.0004556
                     81,                0.20786,                0.20428,                0.83734,                0.99756,                      1,                  0.995,                  0.995,                0.11542,                0.13808,                0.74362,              0.0004358,              0.0004358,              0.0004358
                     82,                0.21262,                0.20494,                0.85606,                0.99765,                      1,                  0.995,                  0.995,                0.14549,                0.12901,                0.75036,               0.000416,               0.000416,               0.000416
                     83,                0.20868,                0.19507,                0.84717,                0.99762,                      1,                  0.995,                  0.995,                0.13194,                0.12682,                0.75639,              0.0003962,              0.0003962,              0.0003962
                     84,                0.21117,                0.20346,                0.84771,                0.99766,                      1,                  0.995,                  0.995,                 0.1205,                 0.1243,                0.75205,              0.0003764,              0.0003764,              0.0003764
                     85,                0.18736,                0.19011,                0.84254,                0.99769,                      1,                  0.995,                  0.995,                0.10991,                 0.1103,                 0.7506,              0.0003566,              0.0003566,              0.0003566
                     86,                0.19217,                0.18929,                0.83983,                0.99763,                      1,                  0.995,                  0.995,                0.10523,                0.12698,                0.74917,              0.0003368,              0.0003368,              0.0003368
                     87,                0.18971,                0.19268,                0.83868,                 0.9976,                      1,                  0.995,                  0.995,                0.11777,                0.12566,                0.75244,               0.000317,               0.000317,               0.000317
                     88,                0.18971,                0.18866,                0.83638,                0.99749,                      1,                  0.995,                  0.995,                0.11078,                0.11072,                0.74749,              0.0002972,              0.0002972,              0.0002972
                     89,                0.18123,                0.18406,                0.84297,                0.99758,                      1,                  0.995,                 0.9924,                 0.1217,                0.11684,                0.74944,              0.0002774,              0.0002774,              0.0002774
                     90,                0.18718,                 0.1869,                0.84467,                0.99763,                      1,                  0.995,                  0.995,                0.11435,                0.11279,                0.74738,              0.0002576,              0.0002576,              0.0002576
                     91,                0.11684,                0.13827,                0.76541,                0.99766,                      1,                  0.995,                  0.995,                0.12185,                0.11258,                0.74795,              0.0002378,              0.0002378,              0.0002378
                     92,                0.11482,                 0.1368,                0.76985,                0.99763,                      1,                  0.995,                  0.995,                0.11451,                0.11411,                0.74324,               0.000218,               0.000218,               0.000218
                     93,                 0.1162,                0.13534,                0.76337,                0.99769,                      1,                  0.995,                  0.995,                0.11385,                0.11849,                0.74284,              0.0001982,              0.0001982,              0.0001982
                     94,                0.11479,                0.13422,                0.76403,                0.99769,                      1,                  0.995,                  0.995,                0.10869,                0.11087,                0.74315,              0.0001784,              0.0001784,              0.0001784
                     95,                0.11745,                0.13311,                  0.768,                0.99772,                      1,                  0.995,                  0.995,                0.10081,                0.11538,                0.74114,              0.0001586,              0.0001586,              0.0001586
                     96,                 0.1095,                0.12399,                0.77267,                0.99772,                      1,                  0.995,                  0.995,                  0.113,                0.11236,                 0.7423,              0.0001388,              0.0001388,              0.0001388
                     97,                0.11132,                0.12952,                0.76883,                0.99772,                      1,                  0.995,                  0.995,                0.10284,                0.10542,                 0.7407,               0.000119,               0.000119,               0.000119
                     98,                0.11313,                0.12884,                0.78192,                0.99772,                      1,                  0.995,                  0.995,                0.10159,                0.10263,                0.73999,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.10399,                0.11831,                0.76112,                0.99773,                      1,                  0.995,                  0.995,                0.10497,                0.09961,                0.73941,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.09973,                0.11621,                0.74855,                0.99771,                      1,                  0.995,                  0.995,                0.09702,                 0.1007,                0.74006,               5.96e-05,               5.96e-05,               5.96e-05
